"coopID"	"long"	"lat"	"elev"
254440	-103.6344	41.2453	1435
254900	-102.6361	41.1489	1168
254985	-98.9681	41.2808	627.3
255080	-97.45	41.8292	481.6
255310	-100.6203	40.2156	796.1
255470	-101.7089	42.9194	986
255565	-98.9514	40.5156	658.4
256040	-98.7747	41.4933	597.4
256135	-97.9675	42.0678	521.2
256570	-96.1558	40.1217	378
256970	-100.2472	42.065	819.9
257070	-98.5197	40.0978	524.3
257515	-98.4697	41.2686	541
257715	-97.0908	40.9	438.9
258133	-100.5986	41.4581	911.4
258395	-96.1886	40.6825	335.3
258465	-96.1939	40.3544	338.3
258480	-96.2264	41.7861	338.3
258915	-96.8617	42.2667	423.7
259090	-96.1414	40.8639	335.3
259510	-97.5922	40.8678	490.7
260507	-117.0675	39.4931	2066.5
260691	-116.8917	40.6117	1373.1
261071	-114.8464	35.98	762
262573	-115.7886	40.8289	1533.1
262780	-118.7811	39.4572	1208.5
263245	-117.4922	40.9567	1339.3
264698	-118.4767	40.1906	1211.6
264950	-114.7733	39.4136	1911.1
265168	-118.1056	38.3844	1391.7
266779	-119.7711	39.4839	1344.2
267369	-114.9217	35.4661	1079
268988	-114.9736	41.1006	1737.4
269171	-117.8081	40.9017	1309.4
270706	-71.6575	44.3061	359.7
272174	-70.95	43.15	24.4
272999	-71.2872	45.0875	506
273850	-72.2847	43.7031	183.8
274399	-72.3244	42.9389	158.5
280325	-74.4242	39.3792	3
280734	-75.0836	40.8292	80.2
280907	-74.4	40.9	85.3
281582	-74.4233	41.0347	231.6
283029	-74.8831	40.5631	79.2
283951	-74.5642	40.265	30.5
284229	-74.7883	39.8144	30.5
284987	-74.0047	40.2797	9.1
285728	-74.9697	39.9511	13.7
286055	-74.4364	40.4719	26.2
287079	-74.4025	40.6036	27.4
288816	-74.2167	39.95	30.5
290692	-108.0006	36.835	1720.3
290858	-104.0936	35.5297	1371.6
291469	-104.2225	32.3478	951
291515	-105.8964	33.6308	1647.4
291664	-106.5781	36.9178	2392.7
291813	-104.9456	36.4661	1993.4
291887	-103.1539	36.4486	1511.8
292608	-107	36.9358	2070.5
292848	-107.1844	33.1461	1394.8
293265	-108.1517	32.7939	1872.1
293294	-104.2319	34.4667	1226.8
293368	-108.0867	32.2261	1365.2
294369	-106.6872	35.7783	1908.7
294426	-106.7411	32.6169	1300.3
294862	-105.2131	35.5678	1935.2
295150	-106.7611	34.7675	1475.2
295273	-108.9417	33.8225	2148.8
295960	-105.8242	32.9547	2066.5
295965	-106.2606	34.5208	1987.3
296435	-106.0911	32.3789	1274.7
297323	-105.4036	36.7058	2644.4
297610	-104.5083	33.3075	1112.2
297867	-103.3283	35.1086	1289.3
298107	-104.6805	34.9358	1405.1
298387	-106.8831	34.0828	1397.5
298501	-104.585	36.3628	1794.7
298535	-106.7597	32.2822	1182.9
299156	-103.6867	35.2006	1245.4
299165	-106.0417	33.0719	1350.3
300023	-77.2344	42.1014	304.5
300042	-73.8092	42.7431	83.8
300085	-77.785	42.2614	539.5
300093	-78.75	42.1003	457.2
300183	-77.9889	42.3017	440.4
300321	-76.5447	42.9328	234.7
300443	-78.1692	43.0303	278.3
300687	-75.98	42.2067	486.2
300889	-72.3067	40.9464	18.3
300937	-77.9333	43.2	163.1
301012	-78.7358	42.9408	214.9
301185	-75.1097	44.5772	136.6
301401	-73.3953	44.8786	47.9
301752	-74.9267	42.7167	383.1
301799	-76.1833	42.6	344.1
301966	-73.7206	44.7192	408.4
301974	-77.7175	42.5656	201.2
302060	-75.4264	42.0628	304.8
302129	-73.8344	41.0072	61
302610	-76.8358	42.0997	288.6
303033	-79.312	42.4497	231.6
303184	-77.0308	42.8767	218.8
303259	-73.9333	41.5167	83.8
303319	-74.3592	43.0492	246.9
303773	-77.6083	42.7747	274.9
304102	-74.2692	43.755	506
304174	-76.4489	42.4489	292.6
304555	-73.9847	44.2444	591.3
304647	-74.6692	44.7583	142
304791	-74.8686	43.0603	274.3
304796	-74.8667	43.0333	109.7
304844	-78.6814	43.1392	184.4
304912	-75.4817	43.7975	262.1
304996	-74.3081	44.8419	268.2
305113	-75.0106	42.4694	373.4
305426	-74.155	41.7681	379.5
305512	-75.7264	42.8417	396.2
305801	-73.9692	40.7789	39.6
306085	-75.5197	42.5117	301.4
306164	-75.4442	44.7281	85.3
306314	-76.4933	43.4622	106.7
306774	-74.6847	41.38	143.3
306820	-73.91	41.5997	51.8
307167	-77.6767	43.1167	162.5
307484	-73.8167	43.0331	94.5
307633	-73.1047	40.9586	12.2
308248	-73.8325	42.6925	515.1
308383	-76.1033	43.1092	125
308600	-73.6831	42.75	7.3
308631	-74.4383	44.2308	512.1
308737	-75.3839	43.145	216.7
308906	-74.1628	41.5514	115.8
308910	-78.51	42.7411	332.2
308944	-74.9003	44.1481	460.2
309000	-75.8753	43.9761	151.5
309292	-73.9608	41.3906	97.5
309670	-73.7975	41.2664	204.2
310090	-80.1994	35.3992	185.9
311458	-75.6219	35.2325	3.4
311677	-79.0794	35.9086	152.4
312635	-76.5517	36.0164	3
312719	-76.205	36.3097	2.4
313017	-78.8583	35.0583	29.3
313510	-77.9647	35.3444	33.2
313969	-78.4119	36.3481	146.3
313976	-82.4492	35.3297	658.4
314055	-83.1892	35.0536	1170.4
314684	-77.5433	35.1967	7.3
314938	-81.5378	35.915	365.8
315123	-78.3039	36.1028	79.2
315177	-79.025	34.6269	34.1
315340	-82.0292	35.6631	446.8
315356	-82.6658	35.8036	609.6
315771	-80.5233	34.9797	167.6
315830	-76.7358	34.7336	3
315838	-81.6717	35.7308	353.6
315890	-80.6508	36.4992	317.3
317202	-79.6947	36.3825	271.3
317615	-80.4822	35.6836	213.4
317994	-78.3458	35.5164	45.7
318113	-78.0078	33.9947	6.1
318292	-80.8808	35.81	289.6
318500	-77.5386	35.8847	10.7
318694	-81.3039	36.3919	876.3
319147	-82.9683	35.4867	810.2
319476	-77.9456	35.6939	33.5
320941	-100.4447	48.8214	496.2
321408	-97.2328	46.8769	285
321871	-103.2944	48.9075	595
322188	-102.8111	46.8911	749.8
322365	-102.5869	47.3467	671.8
323207	-100.6667	46.05	510.5
323287	-98.4	46.1581	437.4
323594	-97.4247	48.4181	252.1
323621	-97.0981	47.9217	253
324178	-102.6442	45.9925	816.9
324203	-97.0664	47.4389	277.4
324418	-98.685	46.8844	447.1
324958	-98.3447	48.7622	492.3
325220	-97.6822	46.4522	336.5
325479	-100.9097	46.8128	533.4
