"id"	"long"	"lat"
710	-86.586032	35.923857
711	-85.937651	35.853927
712	-85.291554	35.780633
713	-84.647839	35.704014
714	-84.0066	35.624112
715	-83.367932	35.540969
716	-82.731925	35.454632
717	-82.098665	35.365144
718	-81.46824	35.272554
719	-80.840731	35.176909
720	-80.216218	35.078258
721	-79.594778	34.976653
722	-78.976486	34.872144
723	-78.361413	34.764784
724	-77.749628	34.654627
725	-120.128486	35.206151
726	-119.512066	35.317192
727	-118.892307	35.425364
728	-118.269282	35.530614
729	-117.643063	35.632888
730	-117.013728	35.732134
731	-116.381355	35.8283
732	-115.746028	35.921337
733	-115.107832	36.011195
734	-114.466854	36.097826
735	-113.823186	36.181184
736	-113.176921	36.261225
737	-112.528155	36.337904
738	-111.876986	36.411179
739	-111.223517	36.48101
740	-110.56785	36.547359
741	-109.910091	36.610187
742	-109.250349	36.66946
743	-108.588734	36.725145
744	-107.925358	36.777209
745	-107.260337	36.825622
746	-106.593785	36.870357
747	-105.925822	36.911388
748	-105.256567	36.948692
749	-104.58614	36.982246
750	-103.914665	37.01203
751	-103.242265	37.038029
752	-102.569064	37.060225
753	-101.895189	37.078607
754	-101.220766	37.093163
755	-100.545922	37.103885
756	-99.870785	37.110766
757	-99.195482	37.113803
758	-98.520142	37.112993
759	-97.844894	37.108337
760	-97.169864	37.099838
761	-96.495182	37.087501
762	-95.820974	37.071332
763	-95.147368	37.051343
764	-94.474489	37.027544
765	-93.802463	36.999949
766	-93.131415	36.968575
767	-92.461466	36.933439
768	-91.79274	36.894564
769	-91.125357	36.85197
770	-90.459436	36.805682
771	-89.795093	36.755728
772	-89.132445	36.702136
773	-88.471605	36.644937
774	-87.812685	36.584162
775	-87.155794	36.519847
776	-86.501039	36.452027
777	-85.848526	36.380741
778	-85.198357	36.306027
779	-84.550632	36.227928
780	-83.905449	36.146485
781	-83.262903	36.061743
782	-82.623085	35.973747
783	-81.986087	35.882545
784	-81.351993	35.788184
785	-80.72089	35.690715
786	-80.092858	35.590188
787	-79.467974	35.486654
788	-78.846316	35.380167
789	-78.227955	35.27078
790	-77.612961	35.158548
791	-77.001401	35.043527
792	-76.393339	34.925772
793	-120.883459	35.594466
794	-120.267217	35.710444
795	-119.647487	35.823563
796	-119.024336	35.933765
797	-118.397838	36.040995
798	-117.768067	36.145199
799	-117.135101	36.246322
800	-116.499021	36.344312
801	-115.859911	36.439117
802	-115.217857	36.530686
803	-114.57295	36.618972
804	-113.925282	36.703925
805	-113.274948	36.785501
806	-112.622047	36.863653
807	-111.96668	36.938339
808	-111.308949	37.009518
809	-110.648962	37.077148
810	-109.986826	37.141193
811	-109.322652	37.201615
812	-108.656554	37.258381
813	-107.988647	37.311457
